PARTITION_ID,barrel,bullet,land,scan_id,unique_id
10,Barrel 9,Bullet 1,Land 2,Barrel 9-Bullet 1-Land 2,Land IB
8,Barrel 9,Bullet 1,Land 3,Barrel 9-Bullet 1-Land 3,Land IC
9,Barrel 9,Bullet 1,Land 4,Barrel 9-Bullet 1-Land 4,Land ID
14,Barrel 9,Bullet 1,Land 5,Barrel 9-Bullet 1-Land 5,Land IE
17,Barrel 9,Bullet 1,Land 6,Barrel 9-Bullet 1-Land 6,Land IF
8,Barrel 9,Bullet 2,Land 1,Barrel 9-Bullet 2-Land 1,Land ID
4,Barrel 9,Bullet 2,Land 2,Barrel 9-Bullet 2-Land 2,Land IE
14,Barrel 9,Bullet 2,Land 4,Barrel 9-Bullet 2-Land 4,Land IA
7,Barrel 9,Bullet 2,Land 5,Barrel 9-Bullet 2-Land 5,Land IB
20,Barrel 9,Bullet 2,Land 6,Barrel 9-Bullet 2-Land 6,Land IC
3,Unknowns,Bullet 'E',Land 1,Unknowns-Bullet 'E'-Land 1,Land GD
11,Unknowns,Bullet 'E',Land 2,Unknowns-Bullet 'E'-Land 2,Land GE
18,Unknowns,Bullet 'E',Land 3,Unknowns-Bullet 'E'-Land 3,Land GF
14,Unknowns,Bullet 'E',Land 4,Unknowns-Bullet 'E'-Land 4,Land GA
9,Unknowns,Bullet 'E',Land 5,Unknowns-Bullet 'E'-Land 5,Land GB
10,Unknowns,Bullet 'E',Land 6,Unknowns-Bullet 'E'-Land 6,Land GC
16,Unknowns,Bullet 'F',Land 1,Unknowns-Bullet 'F'-Land 1,Land HA
5,Unknowns,Bullet 'F',Land 2,Unknowns-Bullet 'F'-Land 2,Land HB
3,Unknowns,Bullet 'F',Land 3,Unknowns-Bullet 'F'-Land 3,Land HC
17,Unknowns,Bullet 'F',Land 4,Unknowns-Bullet 'F'-Land 4,Land HD
17,Unknowns,Bullet 'F',Land 5,Unknowns-Bullet 'F'-Land 5,Land HE
11,Unknowns,Bullet 'F',Land 6,Unknowns-Bullet 'F'-Land 6,Land HF
1,Unknowns,Bullet 'G',Land 1,Unknowns-Bullet 'G'-Land 1,Land IC
6,Unknowns,Bullet 'G',Land 2,Unknowns-Bullet 'G'-Land 2,Land ID
5,Unknowns,Bullet 'G',Land 3,Unknowns-Bullet 'G'-Land 3,Land IE
2,Unknowns,Bullet 'G',Land 4,Unknowns-Bullet 'G'-Land 4,Land IF
19,Unknowns,Bullet 'G',Land 5,Unknowns-Bullet 'G'-Land 5,Land IA
6,Unknowns,Bullet 'G',Land 6,Unknowns-Bullet 'G'-Land 6,Land IB
8,Unknowns,Bullet 'H',Land 1,Unknowns-Bullet 'H'-Land 1,Land EC
19,Unknowns,Bullet 'H',Land 2,Unknowns-Bullet 'H'-Land 2,Land ED
8,Unknowns,Bullet 'H',Land 3,Unknowns-Bullet 'H'-Land 3,Land EE
10,Unknowns,Bullet 'H',Land 4,Unknowns-Bullet 'H'-Land 4,Land EF
13,Unknowns,Bullet 'H',Land 5,Unknowns-Bullet 'H'-Land 5,Land EA
15,Unknowns,Bullet 'H',Land 6,Unknowns-Bullet 'H'-Land 6,Land EB
5,Unknowns,Bullet 'I',Land 1,Unknowns-Bullet 'I'-Land 1,Land EB
13,Unknowns,Bullet 'I',Land 2,Unknowns-Bullet 'I'-Land 2,Land EC
10,Unknowns,Bullet 'I',Land 3,Unknowns-Bullet 'I'-Land 3,Land ED
11,Unknowns,Bullet 'I',Land 4,Unknowns-Bullet 'I'-Land 4,Land EE
19,Unknowns,Bullet 'I',Land 5,Unknowns-Bullet 'I'-Land 5,Land EF
14,Unknowns,Bullet 'I',Land 6,Unknowns-Bullet 'I'-Land 6,Land EA
20,Unknowns,Bullet 'J',Land 1,Unknowns-Bullet 'J'-Land 1,Land DC
14,Unknowns,Bullet 'J',Land 2,Unknowns-Bullet 'J'-Land 2,Land DD
15,Unknowns,Bullet 'J',Land 3,Unknowns-Bullet 'J'-Land 3,Land DE
5,Unknowns,Bullet 'J',Land 4,Unknowns-Bullet 'J'-Land 4,Land DF
6,Unknowns,Bullet 'J',Land 5,Unknowns-Bullet 'J'-Land 5,Land DA
8,Unknowns,Bullet 'J',Land 6,Unknowns-Bullet 'J'-Land 6,Land DB
7,Unknowns,Bullet 'K',Land 1,Unknowns-Bullet 'K'-Land 1,Land AE
11,Unknowns,Bullet 'K',Land 2,Unknowns-Bullet 'K'-Land 2,Land AF
8,Unknowns,Bullet 'K',Land 3,Unknowns-Bullet 'K'-Land 3,Land AA
4,Unknowns,Bullet 'K',Land 4,Unknowns-Bullet 'K'-Land 4,Land AB
7,Unknowns,Bullet 'K',Land 5,Unknowns-Bullet 'K'-Land 5,Land AC
19,Unknowns,Bullet 'K',Land 6,Unknowns-Bullet 'K'-Land 6,Land AD
18,Unknowns,Bullet 'L',Land 1,Unknowns-Bullet 'L'-Land 1,Land CE
13,Unknowns,Bullet 'L',Land 2,Unknowns-Bullet 'L'-Land 2,Land CF
8,Unknowns,Bullet 'L',Land 3,Unknowns-Bullet 'L'-Land 3,Land CA
6,Unknowns,Bullet 'L',Land 4,Unknowns-Bullet 'L'-Land 4,Land CB
20,Unknowns,Bullet 'L',Land 6,Unknowns-Bullet 'L'-Land 6,Land CD
16,Unknowns,Bullet 'O',Land 1,Unknowns-Bullet 'O'-Land 1,Land BF
6,Unknowns,Bullet 'O',Land 2,Unknowns-Bullet 'O'-Land 2,Land BA
9,Unknowns,Bullet 'O',Land 3,Unknowns-Bullet 'O'-Land 3,Land BB
7,Unknowns,Bullet 'O',Land 4,Unknowns-Bullet 'O'-Land 4,Land BC
3,Unknowns,Bullet 'O',Land 5,Unknowns-Bullet 'O'-Land 5,Land BD
17,Unknowns,Bullet 'O',Land 6,Unknowns-Bullet 'O'-Land 6,Land BE
1,Unknowns,Bullet 'P',Land 1,Unknowns-Bullet 'P'-Land 1,Land DF
19,Unknowns,Bullet 'P',Land 2,Unknowns-Bullet 'P'-Land 2,Land DA
11,Unknowns,Bullet 'P',Land 3,Unknowns-Bullet 'P'-Land 3,Land DB
16,Unknowns,Bullet 'P',Land 4,Unknowns-Bullet 'P'-Land 4,Land DC
18,Unknowns,Bullet 'P',Land 5,Unknowns-Bullet 'P'-Land 5,Land DD
15,Unknowns,Bullet 'P',Land 6,Unknowns-Bullet 'P'-Land 6,Land DE
9,Unknowns,Bullet 'S',Land 1,Unknowns-Bullet 'S'-Land 1,Land JF
7,Unknowns,Bullet 'S',Land 2,Unknowns-Bullet 'S'-Land 2,Land JA
13,Unknowns,Bullet 'S',Land 3,Unknowns-Bullet 'S'-Land 3,Land JB
20,Unknowns,Bullet 'S',Land 4,Unknowns-Bullet 'S'-Land 4,Land JC
11,Unknowns,Bullet 'S',Land 5,Unknowns-Bullet 'S'-Land 5,Land JD
18,Unknowns,Bullet 'S',Land 6,Unknowns-Bullet 'S'-Land 6,Land JE
15,Unknowns,Bullet 'T',Land 1,Unknowns-Bullet 'T'-Land 1,Land IA
17,Unknowns,Bullet 'T',Land 2,Unknowns-Bullet 'T'-Land 2,Land IB
17,Unknowns,Bullet 'T',Land 3,Unknowns-Bullet 'T'-Land 3,Land IC
9,Unknowns,Bullet 'T',Land 4,Unknowns-Bullet 'T'-Land 4,Land ID
2,Unknowns,Bullet 'T',Land 5,Unknowns-Bullet 'T'-Land 5,Land IE
19,Unknowns,Bullet 'T',Land 6,Unknowns-Bullet 'T'-Land 6,Land IF
9,Unknowns,Bullet 'U',Land 1,Unknowns-Bullet 'U'-Land 1,Land GF
7,Unknowns,Bullet 'U',Land 2,Unknowns-Bullet 'U'-Land 2,Land GA
18,Unknowns,Bullet 'U',Land 3,Unknowns-Bullet 'U'-Land 3,Land GB
8,Unknowns,Bullet 'U',Land 4,Unknowns-Bullet 'U'-Land 4,Land GC
8,Unknowns,Bullet 'U',Land 5,Unknowns-Bullet 'U'-Land 5,Land GD
15,Unknowns,Bullet 'U',Land 6,Unknowns-Bullet 'U'-Land 6,Land GE
11,Unknowns,Bullet 'X',Land 1,Unknowns-Bullet 'X'-Land 1,Land GD
2,Unknowns,Bullet 'X',Land 2,Unknowns-Bullet 'X'-Land 2,Land GE
4,Unknowns,Bullet 'X',Land 3,Unknowns-Bullet 'X'-Land 3,Land GF
4,Unknowns,Bullet 'X',Land 4,Unknowns-Bullet 'X'-Land 4,Land GA
16,Unknowns,Bullet 'X',Land 5,Unknowns-Bullet 'X'-Land 5,Land GB
6,Unknowns,Bullet 'X',Land 6,Unknowns-Bullet 'X'-Land 6,Land GC
16,Unknowns,Bullet 'Y',Land 1,Unknowns-Bullet 'Y'-Land 1,Land FC
16,Unknowns,Bullet 'Y',Land 2,Unknowns-Bullet 'Y'-Land 2,Land FD
5,Unknowns,Bullet 'Y',Land 3,Unknowns-Bullet 'Y'-Land 3,Land FE
17,Unknowns,Bullet 'Y',Land 4,Unknowns-Bullet 'Y'-Land 4,Land FF
3,Unknowns,Bullet 'Y',Land 5,Unknowns-Bullet 'Y'-Land 5,Land FA
7,Unknowns,Bullet 'Y',Land 6,Unknowns-Bullet 'Y'-Land 6,Land FB
